tran_ratio_count_1D_90D,tran_ratio_count_1D_180D,tran_ratio_amount_10min_1D,tran_ratio_amount_1D_30D,tran_ratio_amount_1D_90D,tran_ratio_amount_1D_180D,isoddhr,Tran_avarage_amount_ratio,Label,transaction_id
1.0,1.0,1.0,1.0,1.0,1.0,1,1.75115,0,1
1.0,1.0,0.59391,1.0,1.0,1.0,1,2.56108,0,2
1.0,1.0,0.19332,1.0,1.0,1.0,0,1.03344,0,3
0.75,0.75,0.21777,0.72407,0.72407,0.72407,1,1.00071,0,4
0.4,0.4,0.56419,0.30048,0.30048,0.30048,1,1.29549,0,5
0.5,0.5,0.10158,0.32346,0.32346,0.32346,1,0.25961,0,6
0.42857,0.42857,0.15537,0.22487,0.22487,0.22487,1,0.28606,0,7
0.5,0.5,0.69392,0.4866,0.4866,0.4866,1,4.17406,0,8
0.33333,0.33333,0.05455,0.37384,0.37384,0.37384,1,0.25733,0,9
0.4,0.4,0.03753,0.38284,0.38284,0.38284,1,0.18394,0,10
0.45455,0.45455,0.29039,0.46643,0.46643,0.46643,1,2.00576,0,11
0.33333,0.33333,0.51625,0.29038,0.29038,0.29038,1,2.61147,0,12
0.38462,0.38462,0.15919,0.32736,0.32736,0.32736,1,0.95774,0,13
0.21429,0.21429,0.08405,0.20832,0.20832,0.20832,1,0.3275,1,14
0.2,0.2,0.36887,0.10467,0.10467,0.10467,1,0.75118,0,15
0.25,0.25,0.09288,0.11416,0.11416,0.11416,1,0.2085,0,16
0.29412,0.29412,0.32255,0.15983,0.15983,0.15983,1,1.06887,0,17
0.33333,0.33333,0.20955,0.19398,0.19398,0.19398,1,0.87851,0,18
0.31579,0.31579,0.19232,0.17892,0.17892,0.17892,1,0.77021,0,19
0.3,0.3,0.12784,0.18394,0.18394,0.18394,0,0.539,0,20
0.19048,0.19048,0.32316,0.13487,0.13487,0.13487,1,1.04453,0,21
0.13636,0.13636,0.38296,0.10286,0.10286,0.10286,0,0.9828,0,22
0.04348,0.04348,1.0,0.04196,0.04196,0.04196,1,1.0926,0,23
0.04167,0.04167,1.0,0.04675,0.04675,0.04675,0,1.27725,0,24
0.08,0.08,0.13226,0.0535,0.0535,0.0535,1,0.19467,0,25
0.11538,0.11538,0.45832,0.09449,0.09449,0.09449,1,1.24539,0,26
0.14815,0.14815,0.29677,0.12921,0.12921,0.12921,1,1.14671,0,27
0.17857,0.17857,0.08725,0.13983,0.13983,0.13983,0,0.36936,0,28
0.13793,0.13793,0.21673,0.11358,0.11358,0.11358,1,0.76408,0,29
0.16667,0.16667,0.12656,0.12794,0.12794,0.12794,1,0.51082,0,30
0.09677,0.09677,0.25744,0.05367,0.05367,0.05367,0,0.442,0,31
0.125,0.125,0.42313,0.06803,0.06803,0.06803,0,0.49315,0,32
0.15152,0.15152,0.279,0.09194,0.09194,0.09194,1,0.85521,0,33
0.14706,0.14706,0.13643,0.07906,0.07906,0.07906,1,0.36356,0,34
0.14286,0.14286,0.44183,0.10898,0.10898,0.10898,1,1.70496,0,35
0.16667,0.16667,0.04797,0.11385,0.11385,0.11385,1,0.19443,0,36
