tran_foreign,Device_Change,IP_Change,uni_acc_to_10min,uni_acc_to_1D,tran_ratio_count_10min_1D,tran_ratio_count_1D_30D,transaction_id
0,0,0,1,1,1.0,1.0,1
0,0,0,1,1,0.5,1.0,2
0,0,0,1,0,0.33333,1.0,3
0,0,0,1,1,0.33333,0.75,4
0,0,0,1,1,0.5,0.4,5
0,0,0,1,0,0.33333,0.5,6
0,0,0,1,0,0.33333,0.42857,7
0,0,0,1,0,0.25,0.5,8
0,0,0,1,1,0.33333,0.33333,9
0,0,0,1,0,0.25,0.4,10
0,0,0,1,0,0.2,0.45455,11
0,0,0,1,0,0.25,0.33333,12
0,0,0,1,0,0.2,0.38462,13
0,0,0,1,0,0.33333,0.21429,14
0,0,0,1,0,0.33333,0.2,15
0,0,0,1,0,0.25,0.25,16
0,0,0,1,0,0.2,0.29412,17
0,0,0,1,0,0.16667,0.33333,18
0,0,0,1,0,0.16667,0.31579,19
0,0,0,1,0,0.16667,0.3,20
0,0,0,1,0,0.25,0.19048,21
0,0,0,1,0,0.33333,0.13636,22
0,0,0,1,1,1.0,0.04348,23
0,0,0,1,1,1.0,0.04167,24
0,0,0,1,1,0.5,0.08,25
0,0,0,1,0,0.33333,0.11538,26
0,0,0,1,0,0.25,0.14815,27
0,0,0,1,0,0.2,0.17857,28
0,0,0,1,0,0.25,0.13793,29
0,0,0,1,0,0.2,0.16667,30
0,0,0,1,0,0.33333,0.09677,31
0,0,0,1,0,0.5,0.125,32
0,0,0,1,0,0.2,0.15152,33
0,0,0,1,0,0.2,0.14706,34
0,0,0,1,0,0.2,0.14286,35
0,0,0,1,0,0.16667,0.16667,36
0,0,0,1,0,0.25,0.21053,37
0,0,0,1,0,0.25,0.21053,38
0,0,0,1,0,0.14286,0.17949,39
0,0,0,1,0,0.14286,0.175,40
0,0,0,1,1,0.5,0.04878,41
0,0,0,1,1,0.66667,0.07143,42
0,0,0,1,0,0.25,0.09302,43
0,0,0,1,0,0.25,0.09091,44
0,0,0,1,0,0.2,0.11111,45
0,0,0,1,1,0.33333,0.06522,46
0,0,0,1,1,0.5,0.04255,47
0,0,0,1,1,0.5,0.04167,48
0,0,0,1,1,0.5,0.04082,49
0,0,0,1,1,0.33333,0.06,50
0,0,0,1,0,0.25,0.07843,51
0,0,0,1,0,0.2,0.09615,52
0,0,0,1,0,0.16667,0.11321,53
0,0,0,1,0,0.14286,0.12963,54
0,0,0,1,0,0.16667,0.10909,55
0,0,0,1,1,0.25,0.07143,56
0,0,0,1,1,0.5,0.07018,57
0,0,0,1,0,0.2,0.08621,58
0,0,0,1,0,0.2,0.08475,59
0,0,0,1,0,0.16667,0.1,60
0,0,0,1,1,1.0,0.01639,61
0,0,0,1,1,0.5,0.03226,62
0,0,0,1,1,0.33333,0.04762,63
0,0,0,1,0,0.25,0.0625,64
0,0,0,1,0,0.2,0.07692,65
0,0,0,1,0,0.25,0.06061,66
0,0,0,1,1,0.5,0.02985,67
0,0,0,1,1,0.33333,0.04412,68
0,0,0,1,0,0.33333,0.04348,69
0,0,0,1,1,0.5,0.02857,70
0,0,0,1,1,0.33333,0.04225,71
0,0,0,1,1,0.33333,0.04167,72
0,0,0,1,0,0.25,0.05479,73
0,0,0,1,0,0.2,0.06757,74
