Transaction_Amount,Transaction_Hour,If_tran_amount_less_than_10k,Is_Business_Hour,Is_Night_Hour,Is_Round_Amount,anomaly_score
7557.690655878263,8,1,0,0,0,0.22467732
4379.795295166735,5,1,0,1,0,0.18517315
7997.557310051623,16,1,1,0,0,0.2665021
8298.839349876025,6,1,0,0,0,0.19725466
9213.924176307555,7,1,0,0,0,0.20379364
7521.535167410295,15,1,1,0,0,0.28717765
6517.09558841636,18,1,0,0,0,0.23892143
511.5297317398314,11,1,1,0,0,0.26143622
7640.491051341738,8,1,0,0,0,0.22491267
5814.485110378766,12,1,1,0,0,0.30297962
945.4045955807816,15,1,1,0,0,0.2676563
5825.452091446444,21,1,0,0,0,0.2346699
2073.6707273861966,16,1,1,0,0,0.26429403
9098.51292206918,14,1,1,0,0,0.27320638
7410.79795177201,16,1,1,0,0,0.2702487
8517.294993052072,15,1,1,0,0,0.2799472
9373.67758957578,13,1,1,0,0,0.27960727
945.39919199536,14,1,1,0,0,0.27504402
6045.17306697566,18,1,0,0,0,0.24267784
8235.012645157329,17,1,1,0,0,0.24247491
5531.915780939836,19,1,0,0,0,0.2542262
6196.429699816633,20,1,0,0,0,0.24895078
2008.919288919289,14,1,1,0,1,0.10137683
3589.686959633821,9,1,1,0,0,0.25953308
277.76489326274435,11,1,1,0,0,0.24339008
4110.11157312838,7,1,0,0,0,0.2485049
5017.263193831241,9,1,1,0,0,0.26323682
2072.032006176232,14,1,1,0,0,0.28541738
1224.9821370588254,19,1,0,0,0,0.23272106
4819.38661365694,6,1,0,0,0,0.22321886
2396.0443044520407,11,1,1,0,0,0.29123238
7431.828788978531,0,1,0,1,0,0.16307545
2088.8213515469865,9,1,1,0,0,0.24519384
5725.686864417834,13,1,1,0,0,0.3018745
5813.570907934534,15,1,1,0,0,0.29445764
6823.030263795352,21,1,0,0,0,0.22674191
1780.4335024615657,5,1,0,1,0,0.16542143
2767.897924831207,11,1,1,0,0,0.28832301
3979.5226625817554,15,1,1,0,0,0.29170546
917.3817923912088,7,1,0,0,0,0.20511615
6408.6540475698985,17,1,1,0,0,0.25595048
697.4252794225911,21,1,0,0,0,0.2047813
30150.93774898536,17,0,1,0,0,0.032996953
9984.753424391138,16,1,1,0,0,0.21504074
8201.147824892618,10,1,1,0,0,0.26822713
2099.753101516248,8,1,0,0,0,0.22013032
8876.3504124764,13,1,1,0,0,0.28175017
6354.3221039380005,5,1,0,1,0,0.18026984
4513.227117737633,6,1,0,0,0,0.22312966
6630.274011738766,13,1,1,0,0,0.29704022
5417.439114558281,14,1,1,0,0,0.2985217
2408.32360121958,16,1,1,0,0,0.26532894
8966.434758295238,17,1,1,0,0,0.2281079
7726.563809841344,22,1,0,1,0,0.13062203
319.00103658554383,10,1,1,0,0,0.2266964
13878.08494395951,16,0,1,0,0,0.06647354
3611.881017884408,19,1,0,0,0,0.2566132
6620.088752548753,7,1,0,0,0,0.2435202
5777.702908984402,1,1,0,1,0,0.18408573
3232.609138525846,18,1,0,0,0,0.24257109
1483.0938925246664,1,1,0,1,0,0.14845198
4215.75475499656,23,1,0,1,0,0.12568986
3906.322039878333,18,1,0,0,0,0.24782464
40845.441926832886,14,0,1,0,0,0.027216315
9510.05247226916,5,1,0,1,0,0.14433825
8281.102457000536,9,1,1,0,0,0.24160105
7318.749225816826,11,1,1,0,0,0.2855348
6591.969775773861,8,1,0,0,0,0.23467076
2014.934110090169,19,1,0,0,0,0.2466414
6718.200629910126,14,1,1,0,0,0.287671
7065.509150002855,17,1,1,0,0,0.25080672
8226.891090244197,4,1,0,1,0,0.1707393
18582.26085320009,9,0,1,0,0,0.05663675
5909.140227288683,18,1,0,0,0,0.24229479
1273.0574709981022,13,1,1,0,0,0.28626424
28809.963413150173,17,0,1,0,0,0.037700593
5218.979671433858,9,1,1,0,0,0.2617266
6793.127565365824,2,1,0,1,0,0.18872213
5681.976025527428,3,1,0,1,0,0.19842768
8814.235830512229,9,1,1,0,0,0.23591375
7231.081202007226,17,1,1,0,0,0.24857506
3581.575487974243,9,1,1,0,0,0.25953308
7513.986230367085,18,1,0,0,0,0.23194742
29028.16312756225,10,0,1,0,0,0.056307673
8747.11568176338,23,1,0,1,0,0.11625725
6807.025925514197,6,1,0,0,0,0.21137047
3848.784516897896,16,1,1,0,0,0.2787968
7310.143087108156,6,1,0,0,0,0.20969784
3256.462634560953,0,1,0,1,0,0.15479761
1718.7228147191404,7,1,0,0,0,0.21778616
8639.62143799974,20,1,0,0,0,0.22996625
9696.21257879701,13,1,1,0,0,0.26287037
6270.18957978091,9,1,1,0,0,0.2617625
289.5150483006863,13,1,1,0,0,0.24828017
2723.5806546732792,15,1,1,0,0,0.28138208
8054.260048804807,12,1,1,0,0,0.291769
2936.471854817888,14,1,1,0,0,0.2905499
299.34456674902003,13,1,1,0,0,0.24828017
6618.014711283754,11,1,1,0,0,0.29282805
3618.4940005668473,9,1,1,0,0,0.2578075
5365.604544795083,19,1,0,0,0,0.2554811
4383.961341829409,16,1,1,0,0,0.28401014
5323.479238128559,11,1,1,0,0,0.2988276
2357.7616625224828,12,1,1,0,0,0.28849524
7553.810324894894,5,1,0,1,0,0.1735723
1795.9416655538575,16,1,1,0,0,0.26331952
7671.579406005528,4,1,0,1,0,0.17979759
9634.939917922611,23,1,0,1,0,0.10156238
7588.975438020041,17,1,1,0,0,0.24575588
7644.894173310219,14,1,1,0,0,0.28383717
486.1245591311367,9,1,1,0,0,0.22001857
3349.3971287563595,16,1,1,0,0,0.2757764
